"country","year","life_expectancy","population","continent","flu_cases"
Uruguay,2015,76.8,3431555.0,Americas,131.1
Uruguay,2014,76.6,3419516.0,Americas,103.7
Uruguay,2013,76.4,3407969.0,Americas,96.3
Uruguay,2012,76.3,3396753.0,Americas,95.7
Uruguay,2011,76.3,3385610.0,Americas,90.1
Uruguay,2010,76.2,3374414.0,Americas,97.8
Uruguay,2009,76.2,3362761.0,Americas,111.0
Uruguay,2008,76.0,3350832.0,Americas,121.9
Uruguay,2007,75.7,3339750.0,Americas,142.9
Uruguay,2006,75.7,3331041.0,Americas,127.8
Uruguay,2005,75.5,3325608.0,Americas,127.8
Uruguay,2004,75.3,3324096.0,Americas,145.3
Uruguay,2003,75.0,3325637.0,Americas,153.5
United States,2015,79.1,321773631,Americas,1915.5
United States,2014,79.1,319448634,Americas,1920.2
United States,2013,79.1,317135919,Americas,2503.8
United States,2012,79.0,314799465,Americas,2319.2
United States,2011,78.9,312390368,Americas,1661.8
United States,2010,78.8,309876170,Americas,1406.9
United States,2009,78.5,307231961,Americas,2680.7
United States,2008,78.3,304473143,Americas,1787.4
United States,2007,78.1,301655953,Americas,1409.6
United States,2006,77.8,298860519,Americas,1465.2
United States,2005,77.6,296139635,Americas,1614.6
United States,2004,77.6,293530886,Americas,1126.8
United States,2003,77.3,291005482,Americas,3087.9
Ukraine,2015,71.5,44823765,Europe,378.2
Ukraine,2014,71.3,45002497,Europe,386.8
Ukraine,2013,71.3,45165211,Europe,422.2
Ukraine,2012,71.2,45319949,Europe,365.6
Ukraine,2011,71.1,45477690,Europe,379.9
Ukraine,2010,70.5,45647497,Europe,386.5
Ukraine,2009,69.6,45830711,Europe,492.8
Ukraine,2008,67.8,46028476,Europe,393.4
Ukraine,2007,67.6,46249196,Europe,406.5
Ukraine,2006,67.9,46502718,Europe,332.9
Ukraine,2005,67.1,46795313,Europe,503.6
Switzerland,2015,83.0,8298663.0,Europe,199.7
Switzerland,2014,82.9,8211383.0,Europe,74.4
Switzerland,2013,82.8,8118719.0,Europe,122.7
Switzerland,2012,82.7,8022628.0,Europe,55.5
Switzerland,2011,82.6,7925813.0,Europe,44.5
Switzerland,2010,82.3,7830534.0,Europe,20.1
Switzerland,2009,82.0,7737316.0,Europe,112.2
Switzerland,2008,82.0,7646542.0,Europe,64.3
Switzerland,2007,81.7,7560141.0,Europe,57.7
Switzerland,2006,81.5,7480317.0,Europe,33.6
Switzerland,2005,81.3,7408608.0,Europe,74.0
Switzerland,2004,81.0,7345299.0,Europe,30.8
Switzerland,2003,80.6,7289901.0,Europe,135.8
Sweden,2015,82.1,9779426.0,Europe,10.3
Sweden,2014,82.1,9703247.0,Europe,5.1
Sweden,2013,81.9,9624247.0,Europe,10.7
Sweden,2012,81.8,9543457.0,Europe,6.9
Sweden,2011,81.7,9462352.0,Europe,3.9
Sweden,2010,81.6,9382297.0,Europe,2.0
Sweden,2009,81.2,9303432.0,Europe,9.1
Sweden,2008,81.1,9226333.0,Europe,3.3
Sweden,2007,80.9,9153316.0,Europe,3.4
Sweden,2006,80.8,9087251.0,Europe,2.9
Sweden,2005,80.6,9030163.0,Europe,3.4
Spain,2015,82.6,46121699,Europe,152.0
Spain,2014,82.5,46259716,Europe,57.9
Spain,2013,82.5,46455163,Europe,53.3
Spain,2012,82.2,46637082,Europe,36.6
Spain,2011,82.0,46708366,Europe,23.5
Spain,2010,81.8,46601492,Europe,14.0
Spain,2009,81.5,46295191,Europe,77.1
Spain,2008,81.1,45817016,Europe,42.5
Spain,2007,80.8,45209538,Europe,62.4
Spain,2006,80.7,44537926,Europe,38.9
Spain,2005,80.3,43854761,Europe,63.0
Spain,2004,80.0,43167276,Europe,27.6
Spain,2003,79.6,42475265,Europe,77.4
South Africa,2015,61.3,54490406,Africa,3091.9
South Africa,2014,61.2,53969054,Africa,2991.9
South Africa,2013,60.7,53416609,Africa,2705.2
South Africa,2012,59.0,52837274,Africa,2575.8
South Africa,2011,56.6,52237272,Africa,2483.7
South Africa,2010,54.9,51621594,Africa,2491.1
South Africa,2009,53.9,50992034,Africa,2891.2
South Africa,2008,53.4,50348811,Africa,2603.4
South Africa,2007,53.0,49693580,Africa,2606.2
South Africa,2006,52.5,49027805,Africa,2701.0
Russia,2015,71.0,143456918,Europe,670.2
Russia,2014,70.9,143429435,Europe,595.5
Russia,2013,70.8,143367341,Europe,637.2
Russia,2012,70.4,143287536,Europe,513.5
Russia,2011,69.8,143211476,Europe,506.8
Russia,2010,68.9,143158099,Europe,448.5
Russia,2009,68.8,143126660,Europe,564.6
Russia,2008,67.9,143123163,Europe,403.4
Russia,2007,67.7,143180249,Europe,319.0
Russia,2006,66.7,143338407,Europe,296.1
Russia,2005,65.1,143622566,Europe,261.5
Russia,2004,65.1,144043914,Europe,317.8
Romania,2015,75.2,19511324,Europe,740.0
Romania,2014,75.1,19651554,Europe,663.2
Romania,2013,74.9,19794163,Europe,651.9
Romania,2012,74.7,19944954,Europe,609.2
Romania,2011,74.5,20111664,Europe,667.0
Romania,2010,73.7,20298838,Europe,620.1
Romania,2009,73.3,20510263,Europe,791.9
Romania,2008,73.2,20741669,Europe,755.0
Romania,2007,73.3,20979708,Europe,774.0
Romania,2006,72.8,21205977,Europe,768.2
Romania,2005,72.4,21407619,Europe,774.7
Romania,2004,72.0,21578318,Europe,719.1
Romania,2003,71.6,21722664,Europe,697.2
Poland,2015,77.6,38611794,Europe,61.1
Poland,2014,77.4,38619974,Europe,29.5
Poland,2013,77.3,38618698,Europe,52.0
Poland,2012,76.7,38609486,Europe,31.5
Poland,2011,76.5,38594217,Europe,45.7
Poland,2010,76.2,38574682,Europe,24.3
Poland,2009,75.7,38551489,Europe,106.2
Poland,2008,75.4,38525752,Europe,50.3
Poland,2007,75.2,38500356,Europe,53.0
Poland,2006,75.2,38478763,Europe,47.6
Poland,2005,75.1,38463514,Europe,94.0
Poland,2004,75.0,38454520,Europe,46.6
Peru,2015,79.5,31376670,Americas,125.6
Peru,2014,79.3,30973148,Americas,126.1
Peru,2013,79.1,30565461,Americas,130.3
Peru,2012,78.7,30158768,Americas,127.7
Peru,2011,78.5,29759891,Americas,135.6
Peru,2010,78.4,29373644,Americas,164.3
Peru,2009,78.2,29001563,Americas,200.6
Peru,2008,78.2,28642048,Americas,229.7
Peru,2007,77.9,28292768,Americas,264.8
Peru,2006,77.7,27949958,Americas,282.9
Peru,2005,77.2,27610406,Americas,308.5
Peru,2004,76.7,27273188,Americas,329.7
Peru,2003,76.2,26937737,Americas,393.1
Peru,2002,75.7,26601463,Americas,329.0
Paraguay,2015,74.4,6639123.0,Americas,309.2
Paraguay,2014,74.3,6552518.0,Americas,254.7
Paraguay,2013,74.1,6465669.0,Americas,226.1
Paraguay,2012,74.1,6379162.0,Americas,170.0
Paraguay,2011,74.0,6293763.0,Americas,179.8
Paraguay,2010,74.0,6209877.0,Americas,192.6
Paraguay,2009,74.0,6127847.0,Americas,267.2
Paraguay,2008,74.0,6047131.0,Americas,285.0
Paraguay,2007,74.0,5966160.0,Americas,314.8
Paraguay,2006,74.0,5882797.0,Americas,310.9
Paraguay,2005,74.0,5795493.0,Americas,328.8
Norway,2015,82.0,5210967.0,Europe,127.9
Norway,2014,82.0,5147970.0,Europe,78.3
Norway,2013,81.6,5083450.0,Europe,89.5
Norway,2012,81.6,5018367.0,Europe,86.9
Norway,2011,81.1,4953945.0,Europe,93.3
Norway,2010,81.1,4891251.0,Europe,64.2
Norway,2009,80.8,4830371.0,Europe,132.3
Norway,2008,80.8,4771633.0,Europe,43.7
Norway,2007,80.6,4716584.0,Europe,42.9
Norway,2006,80.4,4667105.0,Europe,27.8
Norway,2005,80.2,4624388.0,Europe,36.6
Norway,2004,79.8,4589241.0,Europe,12.7
New Zealand,2015,81.4,4528526.0,Oceania,25.2
New Zealand,2014,81.4,4495482.0,Oceania,63.9
New Zealand,2013,81.4,4465276.0,Oceania,43.5
New Zealand,2012,81.1,4435883.0,Oceania,44.8
New Zealand,2011,80.8,4404483.0,Oceania,32.2
New Zealand,2010,80.8,4369027.0,Oceania,33.5
New Zealand,2009,80.5,4329124.0,Oceania,50.8
New Zealand,2008,80.3,4285380.0,Oceania,36.2
New Zealand,2007,80.1,4238021.0,Oceania,26.9
New Zealand,2006,79.9,4187584.0,Oceania,28.2
Netherlands,2015,81.3,16924929,Europe,52.1
Netherlands,2014,81.3,16868020,Europe,32.3
Netherlands,2013,81.2,16809157,Europe,52.3
Netherlands,2012,81.0,16749318,Europe,38.2
Netherlands,2011,80.9,16689863,Europe,31.3
Netherlands,2010,80.8,16631571,Europe,22.0
Netherlands,2009,80.6,16575173,Europe,58.9
Netherlands,2008,80.3,16519862,Europe,34.6
Netherlands,2007,80.2,16463031,Europe,30.9
Netherlands,2006,79.9,16401105,Europe,28.2
Netherlands,2005,79.6,16331646,Europe,34.2
Netherlands,2004,79.1,16253397,Europe,19.5
Netherlands,2003,78.7,16167421,Europe,60.5
Mexico,2015,75.9,127017224,Americas,1357.4
Mexico,2014,75.6,125385833,Americas,1345.1
Mexico,2013,75.4,123740109,Americas,1224.3
Mexico,2012,75.7,122070963,Americas,1131.4
Mexico,2011,75.7,120365271,Americas,952.4
Mexico,2010,75.4,118617542,Americas,1144.3
Mexico,2009,75.3,116815612,Americas,1135.6
Mexico,2008,75.4,114972821,Americas,1164.9
Mexico,2007,75.6,113139374,Americas,1365.0
Mexico,2006,75.4,111382857,Americas,1067.3
Mexico,2005,75.1,109747906,Americas,981.0
Mexico,2004,75.2,108257822,Americas,884.2
Mexico,2003,74.9,106888418,Americas,945.2
Japan,2015,83.2,126573481,Asia,754.3
Japan,2014,83.1,126794564,Asia,649.3
Japan,2013,83.0,126984964,Asia,473.6
Japan,2012,82.9,127139821,Asia,297.3
Japan,2011,82.6,127252900,Asia,135.7
Japan,2010,82.7,127319802,Asia,40.5
Japan,2009,82.7,127340884,Asia,405.0
Japan,2008,82.5,127317900,Asia,92.3
Japan,2007,82.4,127250015,Asia,148.6
Japan,2006,82.2,127136576,Asia,111.8
Japan,2005,82.0,126978754,Asia,182.3
Japan,2004,81.9,126773081,Asia,76.9
Japan,2003,81.7,126523884,Asia,45.8
Hungary,2015,76.7,9855023.0,Europe,190.6
Hungary,2014,76.5,9889540.0,Europe,76.8
Hungary,2013,76.1,9924507.0,Europe,81.2
Hungary,2012,75.5,9958334.0,Europe,66.6
Hungary,2011,75.0,9988846.0,Europe,80.0
Hungary,2010,74.6,10014633,Europe,53.0
Hungary,2009,74.3,10034951,Europe,152.2
Hungary,2008,73.9,10050699,Europe,104.4
Hungary,2007,73.6,10064138,Europe,83.5
Hungary,2006,73.3,10078461,Europe,62.2
Hungary,2005,73.1,10095964,Europe,86.0
Hungary,2004,72.9,10117213,Europe,51.3
Germany,2015,80.8,80688545,Europe,889.2
Germany,2014,80.7,80646262,Europe,731.3
Germany,2013,80.7,80565861,Europe,787.1
Germany,2012,80.6,80477952,Europe,678.8
Germany,2011,80.5,80424665,Europe,667.9
Germany,2010,80.3,80435307,Europe,653.8
Germany,2009,80.1,80519685,Europe,874.9
Germany,2008,80.0,80665906,Europe,838.1
Germany,2007,79.9,80854515,Europe,869.7
Germany,2006,79.7,81055904,Europe,791.5
Germany,2005,79.4,81246801,Europe,948.4
Germany,2004,79.2,81417791,Europe,824.6
Germany,2003,78.8,81569481,Europe,1107.6
France,2015,81.8,64395345,Europe,336.3
France,2014,81.7,64121249,Europe,56.2
France,2013,81.7,63844529,Europe,146.3
France,2012,81.6,63561798,Europe,72.5
France,2011,81.6,63268405,Europe,59.4
France,2010,81.4,62961136,Europe,30.1
France,2009,81.2,62640901,Europe,154.7
France,2008,81.1,62309529,Europe,93.3
France,2007,81.0,61966193,Europe,80.8
France,2006,80.7,61609991,Europe,58.0
France,2005,80.4,61241700,Europe,108.8
France,2004,80.2,60858654,Europe,31.2
France,2003,79.6,60464857,Europe,313.6
Chile,2015,79.4,17948141,Americas,13.5
Chile,2014,79.2,17762647,Americas,20.7
Chile,2013,79.1,17575833,Americas,22.7
Chile,2012,79.1,17388437,Americas,13.1
Chile,2011,78.9,17201305,Americas,6.1
Chile,2010,78.5,17015048,Americas,16.3
Chile,2009,78.5,16829957,Americas,20.7
Chile,2008,78.5,16645940,Americas,7.9
Chile,2007,78.3,16462701,Americas,10.7
Chile,2006,78.2,16279728,Americas,4.9
Chile,2005,78.2,16096571,Americas,5.0
Chile,2004,78.0,15913119,Americas,6.7
Chile,2003,77.8,15729268,Americas,1.7
Canada,2015,81.7,35939927,Americas,2125.2
Canada,2014,81.7,35587793,Americas,2334.4
Canada,2013,81.6,35230612,Americas,2004.4
Canada,2012,81.6,34868151,Americas,1916.6
Canada,2011,81.6,34499905,Americas,1418.8
Canada,2010,81.3,34126173,Americas,1304.9
Canada,2009,81.1,33746559,Americas,2713.8
Canada,2008,80.8,33363256,Americas,1631.3
Canada,2007,80.6,32982275,Americas,1650.4
Canada,2006,80.5,32611436,Americas,1841.5
Canada,2005,80.2,32256333,Americas,1901.1
Canada,2004,80.1,31918582,Americas,1496.7
Canada,2003,79.8,31596593,Americas,3341.7
Bulgaria,2015,74.8,7149787.0,Europe,517.8
Bulgaria,2014,74.7,7201308.0,Europe,487.4
Bulgaria,2013,74.6,7252539.0,Europe,345.3
Bulgaria,2012,74.5,7303741.0,Europe,307.3
Bulgaria,2011,74.2,7355231.0,Europe,498.7
Bulgaria,2010,73.7,7407297.0,Europe,457.7
Bulgaria,2009,73.5,7460057.0,Europe,715.1
Bulgaria,2008,73.2,7513646.0,Europe,676.7
Bulgaria,2007,72.9,7568378.0,Europe,822.1
Bulgaria,2006,72.7,7624611.0,Europe,880.9
Bulgaria,2005,72.6,7682614.0,Europe,807.5
Bulgaria,2004,72.5,7742740.0,Europe,710.0
Brazil,2015,74.4,207847528,Americas,206.3
Brazil,2014,74.3,206077898,Americas,170.3
Brazil,2013,74.1,204259377,Americas,166.8
Brazil,2012,74.0,202401584,Americas,145.0
Brazil,2011,73.8,200517584,Americas,160.5
Brazil,2010,73.6,198614208,Americas,172.5
Brazil,2009,73.4,196701298,Americas,211.2
Brazil,2008,73.2,194769696,Americas,243.0
Brazil,2007,73.0,192784521,Americas,256.5
Brazil,2006,72.7,190698241,Americas,263.5
Brazil,2005,72.4,188479240,Americas,254.7
Brazil,2004,72.0,186116363,Americas,249.3
Brazil,2003,71.7,183627339,Americas,238.2
Brazil,2002,71.4,181045592,Americas,174.0
Bolivia,2015,73.2,10724705,Americas,200.2
Bolivia,2014,72.9,10561887,Americas,174.3
Bolivia,2013,72.7,10399931,Americas,175.6
Bolivia,2012,72.4,10238762,Americas,189.3
Bolivia,2011,72.1,10078238,Americas,208.8
Bolivia,2010,71.8,9918245.0,Americas,226.0
Bolivia,2009,71.6,9758799.0,Americas,279.2
Bolivia,2008,71.2,9599916.0,Americas,317.8
Bolivia,2007,70.9,9441482.0,Americas,371.4
Bolivia,2006,70.6,9283345.0,Americas,371.1
Bolivia,2005,70.2,9125405.0,Americas,389.6
Bolivia,2004,69.8,8967740.0,Americas,425.2
Bolivia,2003,69.3,8810420.0,Americas,501.4
Belgium,2015,80.5,11299192,Europe,347.2
Belgium,2014,80.5,11226322,Europe,105.3
Belgium,2013,80.4,11153122,Europe,185.0
Belgium,2012,80.3,11079521,Europe,89.8
Belgium,2011,80.2,11005175,Europe,86.1
Belgium,2010,80.1,10929978,Europe,52.6
Belgium,2009,79.8,10854388,Europe,198.5
Belgium,2008,79.6,10779155,Europe,90.3
Belgium,2007,79.5,10704830,Europe,121.3
Belgium,2006,79.5,10632032,Europe,83.8
Belgium,2005,79.1,10561436,Europe,124.5
Belgium,2004,79.0,10492643,Europe,55.3
Belgium,2003,78.5,10426169,Europe,255.9
Austria,2015,81.3,8544586.0,Europe,1254.5
Austria,2014,81.2,8516916.0,Europe,993.0
Austria,2013,81.1,8486962.0,Europe,965.9
Austria,2012,80.9,8455477.0,Europe,756.4
Austria,2011,80.7,8423559.0,Europe,670.9
Austria,2010,80.5,8391986.0,Europe,615.5
Austria,2009,80.3,8361362.0,Europe,906.1
Austria,2008,80.4,8331465.0,Europe,828.2
Austria,2007,80.1,8301290.0,Europe,779.2
Austria,2006,80.0,8269372.0,Europe,681.9
Austria,2005,79.5,8234858.0,Europe,798.1
Austria,2004,79.4,8196624.0,Europe,631.2
Austria,2003,79.0,8155466.0,Europe,727.0
Australia,2015,82.3,23968973,Oceania,636.1
Australia,2014,82.3,23622353,Oceania,590.5
Australia,2013,82.4,23270465,Oceania,366.8
Australia,2012,82.4,22911375,Oceania,518.0
Australia,2011,82.2,22542371,Oceania,252.7
Australia,2010,82.0,22162863,Oceania,241.8
Australia,2009,81.8,21770690,Oceania,438.4
Australia,2008,81.6,21370348,Oceania,482.5
Australia,2007,81.5,20975949,Oceania,568.7
Australia,2006,81.4,20606228,Oceania,344.6
Argentina,2015,76.5,43416755,Americas,151.3
Argentina,2014,76.3,42980026,Americas,136.0
Argentina,2013,76.2,42538304,Americas,125.6
Argentina,2012,76.1,42095224,Americas,116.1
Argentina,2011,76.0,41655616,Americas,106.6
Argentina,2010,75.8,41222875,Americas,133.6
Argentina,2009,75.6,40798641,Americas,152.9
Argentina,2008,75.4,40381860,Americas,178.8
Argentina,2007,75.2,39969903,Americas,197.4
Argentina,2006,75.3,39558750,Americas,169.2
Argentina,2005,75.3,39145491,Americas,165.9
Argentina,2004,75.0,38728778,Americas,170.1
Argentina,2003,74.5,38309475,Americas,194.8
